job_id,category,search_keyword,title,description,mandatory_skills,preferred_qualifications,experience_level,job_type,project_type,duration,workload,budget_type,budget_min,budget_max,posted_date,proposals,job_url,collected_at
11,Data Extraction/ETL,data analyst python,Data Extraction and Analysis Specialist,"We’re looking for a Data Scientist to help us organize and make better use of historical data across approx thousands of deals.

The data currently sits across different sources and documents, with several missing or inconsistent mappings. We need someone who can help us:

* Clean and connect the historical data
* Pull key information and lender details from deal documents
* Map deals by industry, region and other relevant fields
* Build a model that can use this historical data to predict the same information for future deals

We’re open to Random Forest or another approach you believe would work better.

Strong experience with Python, data mapping, strong SQL queries and predictive modelling is important. Experience working with financial data and extracting information from documents would be a plus.

Please share any similar projects you’ve worked on and a brief note on how you’d approach this.","Data Analysis
Data Science
Nice-to-have skills
IBM SPSS
Statistics",,Intermediate,Hourly,Ongoing project,1 to 3 months,Less than 30 hrs/week,range,8.0,25.0,2 days ago,20 to 50,https://www.upwork.com/jobs/~022082094300318745510?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082094300318745510,2026-08-03 09:54:34
12,Data Extraction/ETL,data analyst python,Python Developer for Data Processing,"We are seeking a skilled Python developer to enhance our data processing capabilities. The ideal candidate will have experience with data structures and algorithms, and be able to optimize code for performance. Responsibilities include developing efficient data processing scripts, integrating with existing systems, and ensuring data accuracy. Familiarity with machine learning and data visualization is a plus.","Python
PostgreSQL Programming
Nice-to-have skills
Machine Learning
Django",,Intermediate,Hourly,Ongoing project,1 to 3 months,Less than 30 hrs/week,range,9.0,30.0,2 days ago,50+, https://www.upwork.com/jobs/~022082026640515389431?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082026640515389431,2026-08-03 09:54:34
13,Data Entry & Transcription Services,data analyst python,Excel/CSV Data Cleaner & Report Generator,"We are seeking a detail-oriented freelancer to clean and organize data in Excel and CSV files. The ideal candidate will ensure data accuracy, handle missing values, and generate reports. Familiarity with data analysis and visualization tools is a plus. This is a part-time role with a short-term engagement.","Microsoft Excel
Data Cleaning
Python
Python Script
CSV
Data Processing
Automation
Task Automation
report generation
Tools
Microsoft Excel
Microsoft Excel PowerPivot
Visual Basic for Applications
Data Analysis",,Intermediate,Fixed-price,One-time project,,,single,50.0,50.0,4 weeks ago,50+, upwork.com/jobs/~022073098155838746520?referrer_url_path=/nx/search/jobs/details/~022073098155838746520,2026-08-03 09:54:34
14,Scripts & Utilities,data analyst python,Python File & Excel Automation Tool,"I need a simple Python automation tool to help organize files and spreadsheet data.

The tool should:

Read an Excel or CSV file containing file names and categories
Rename files in a selected folder using a clean naming format
Move files into folders based on the category from the spreadsheet
Generate a simple report showing which files were renamed, moved, skipped, or had errors
Include simple instructions so I can run the tool myself

I am looking for someone who can build a clean, practical Python utility with basic error handling and clear documentation.","Python
Task Automation
Automation
Microsoft Excel
Data Processing
Python Script
CSV",,Intermediate,Fixed-price,One-time project,,,single,50.0,50.0,4 weeks ago,50+, https://www.upwork.com/jobs/~022072348650823802727?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022072348650823802727,2026-08-03 09:54:34
15,Scripts & Utilities,data analyst python,Python Developer for Monte Carlo Simulator,"Seeking a Python developer/statistician to build a Monte Carlo simulator for a proprietary poker-style card game. The rules and strategy decisions are already defined. The ideal candidate will have experience in statistical analysis and Python development, with a focus on creating efficient and accurate simulations. This is a part-time project with a short-term engagement. This project is for analysis of a proprietary poker-style table game. A signed NDA may be required before full game rules are shared.

Deliverables include a Python application capable of running millions of simulated hands, allowing payout tables to be easily modified, and generating statistics such as expected return, hand frequencies, and house edge.All source code and work product will become my property upon project completion.


If this project is successful, there is potential for additional work involving related games built on the same simulation framework.","Python
NumPy
pandas
mathmeticians
Statistics
monte carlo simulation
Algorithm Development
Data Analysis
Preferred qualifications",,Intermediate,Fixed-price,One-time project,,,single,500.0,500.0,2 weeks ago,50+, https://www.upwork.com/jobs/~022076627179491473274?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022076627179491473274,2026-08-03 09:54:34
16,Data Analyst & Testing,data analyst python,Staggered Difference-in-Differences Model (Callaway & Sant'Anna) in R/Python,"Project Title: Staggered Difference-in-Differences Model (Callaway & Sant'Anna) in R/Python
Description: I need an econometrician to run a staggered Difference-in-Differences model on an M&A dataset. You must use modern estimators for staggered treatment timing (e.g., the Callaway & Sant'Anna estimator).
If you are using R, you must be proficient with the did, staggered, or fastdid packages. If you are using Python, you must use the equivalent causal inference libraries.
Deliverables:
A clean, well-commented script (R or Python) formatting the raw Bloomberg export.
The regression outputs and event-study plots.
A 30-minute Zoom call where you walk me through every line of the code and explain the output so I can defend it..","SQL
Data Analytics
Python
Statistical Analysis
Data Visualization
Microsoft Excel
R
Data Cleaning
Amazon Athena
Excel Macros
Microsoft Excel PowerPivot
Data Analytics & Visualization Software
pandas
Predictive Modeling
Predictive Analytics",,Intermediate,Hourly,One-time project,Less than 1 month,Less than 30 hrs/week,,,,last month,15 to 20, https://www.upwork.com/jobs/~022067489709072780967?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022067489709072780967,2026-08-03 09:54:34
17,Data Analyst & Testing,data analyst python,Data analyst to build multi-source transaction reconciliation pipeline (Python/AI-assisted) - Data Analysis & Testing,"WHAT WE NEED

We are a US-based fintech (LootRush.com) processing high monthly volume across multiple
payment rails. We need someone to build a reconciliation pipeline that
matches transaction data across three independent sources: settlement
files from payment partners, our internal transaction records, and public
blockchain transaction data.

The output is a repeatable, documented matching process that identifies
every unmatched or partially matched transaction and explains why it
broke. This is not a one-off analysis. It is a tool we re-run every month.

WHAT YOU WILL BUILD

1. An ingestion layer that normalizes files from multiple sources with
inconsistent formats, column names, timestamp conventions, and rounding
behavior.

2. A matching engine handling exact matches, near matches, and
one-to-many relationships, where a single record on one side corresponds
to multiple records on another.

3. An exception report that categorizes each break by type and gives a
human enough context to resolve it.

4. Documentation clear enough that someone else on our team can run,
modify, and extend the pipeline without you.

WHAT WE ARE LOOKING FOR

- Strong Python and pandas, or an equivalent stack. SQL a plus.
- Real experience reconciling or matching messy data across systems that
were never designed to agree with each other. Financial data preferred
but not required. If you have done this with logistics, telecom, ad tech,
or any other multi-source operational data, that transfers.
- Fluency with AI tools, specifically Claude, as part of how you actually
work. We use them heavily and want someone who does too. We will ask
about this concretely.
- The instinct to chase a discrepancy down rather than write it off. The
unmatched 0.3 percent is the entire point of the job.
- Clear written English. You will be explaining your logic, not just
shipping code.

NICE TO HAVE, GENUINELY OPTIONAL

Familiarity with blockchain data and block explorers, or prior work with
payment settlement files, interchange, or card transaction data. We will
teach the domain.

HOW WE ARE RUNNING THIS

We start with a paid fixed-price test using synthetic data that mirrors
our real structure. It is a realistic file set with a small number of
deliberate discrepancies buried in it. You deliver the reconciliation
output plus a short writeup of what you found and how you approached it.
We pay for the test regardless of outcome.

All development happens against synthetic data. We run the finished
pipeline against live data internally.

Strong performers move to an ongoing engagement. We have continuing work
in this area.

TO APPLY

Skip the generic cover letter. Tell us about one time you reconciled or
matched data across sources that disagreed, what the root cause turned
out to be, and how you found it.","Python
SQL
Data Analysis
pandas
ETL Pipeline
Preferred qualifications
English level:
Conversational
Location:
Brazil, Mexico, Argentina, United States",,Expert,Hourly,Ongoing project,1 to 3 months,Less than 30 hrs/week,range,35.0,50.0,5 days ago,20 to 50, https://www.upwork.com/jobs/~022081025566471412668?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022081025566471412668,2026-08-03 09:54:34
18,Data Analysis & Testing,data analyst python,Data Scientist Needed for Sales Forecasting & Dashboard Development,"We are looking for an experienced Data Scientist to analyze our business data and build predictive models for sales forecasting.

Responsibilities:

Clean and preprocess large datasets
Perform exploratory data analysis (EDA)
Build machine learning models for forecasting
Create visual dashboards and reports
Provide actionable business insights

Required Skills:

Python
Pandas
NumPy
Scikit-learn
SQL
Data Visualization (Power BI / Tableau)
Machine Learning

Experience Level:
Intermediate to Expert

Deliverables:

Cleaned dataset
EDA report
Forecasting model
Dashboard
Documentation","Data Analysis
Analytics
Deep Learning
Marketing Analytics
Machine Learning
Data Science
Statistics",,Expert,Hourly,Ongoing project,3 to 6 months,Less than 30 hrs/week,range,35.0,75.0,last month,5 to 10, https://www.upwork.com/jobs/~022065068503463604886?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022065068503463604886,2026-08-03 09:54:34
19,Data Analysis & Testing,data analyst python,Data Analyst - WooCommerce - Product Compliance Review (AI / Excel / Data Analysis),"We're looking for someone to help us review product data from a WooCommerce store and identify compliance-related information.

For each product, we need to determine:

* Is a Safety Data Sheet (SDS/PDF) available?
* Does the product contain any medical or health claims?
* Does the product contain Hazard Statement **H314**?

We're looking for someone who can recommend the fastest and most accurate way to complete this review, whether that's using AI, Excel, scripts, or another reliable method.

**Requirements:**

* Experience with Excel and large datasets
* Experience using AI tools for data analysis
* Strong attention to detail
* Experience with WooCommerce product data

**To apply, please include:**

* Similar projects you've worked on
* How you would approach this task
* Your **fixed price**
* Estimated turnaround time

**Please only apply if you have relevant experience. Applications without examples and a fixed price will not be considered.**","Microsoft Excel
Data Analysis
Statistics",,Entry level,Hourly,One-time project,Less than 1 month,Less than 30 hrs/week,,,,2 weeks ago,20 to 50, https://www.upwork.com/jobs/~022076605694608480704?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022076605694608480704,2026-08-03 09:54:34
20,Data Analysis & Testing,data analyst python,Facebook Data report excel and analysis,"i have data but i dont kno who bought what, which video worked, who purchased genders wise. i want a nice excel spreadsheet with data report broken down then i want analysis of nswering my questions mothly","ETL
Artificial Intelligence
Data Extraction
Machine Learning
Data Analysis
Machine Learning Model
Analytical Presentation
Project Delivery
Project Management
Time & Cost Estimate
Risk Management
Data Analytics & Visualization Software
Data Modeling
Agile Project Management
Data Cleaning
Preferred qualifications",,Intermediate,Hourly,One-time project,Less than 1 month,Less than 30 hrs/week,,,,6 hours ago,20 to 50, https://www.upwork.com/jobs/~022082716718469394515?referrer_url_path=%2Fnx%2Fsearch%2Fjobs%2Fdetails%2F~022082716718469394515,2026-08-03 09:54:34
